iso3,country,yl,rgdpo,emp,pop,K,ky_ratio,hc,hc_bl,hc_pwt,yr_sch,mining_va,governance,openness,social_infra,distancefromeq,fr_trade,english_frac,we_lang_frac,delta,labsh,csh_i
ABW,Aruba,,2543.25293,,0.061079,6269.769884,2.465256,,,,,,,,,0.139111,,0.083525,0.083525,0.035951,,0.351074
AGO,Angola,4932.193871,31056.705078,6.296732,11.06805,175505.919477,5.651144,1.117972,,1.117972,,0.329125,0.318182,,,0.098111,11.51,0.0,0.6,0.031949,0.284385,0.196775
AIA,Anguilla,55784.414353,164.517868,0.002949,0.008213,962.932358,5.853056,,,,,0.003279,,,,0.202444,,0.7544,0.7544,0.027362,,0.580825
ALB,Albania,8792.371262,11490.503906,1.306872,3.200977,22789.294722,1.983316,2.256353,2.256353,2.408496,6.75,0.043561,0.378511,,,0.459222,,0.0,0.0,0.029739,,0.145367
ARE,United Arab Emirates,233512.902902,193512.171875,0.8287,1.627066,963366.834971,4.978327,1.792247,1.792247,1.922693,4.47,0.394066,0.603417,,,0.269778,33.42,0.0,0.0077,0.02937,,0.362791
ARG,Argentina,16572.164385,188858.359375,11.396119,31.668949,250933.887088,1.328688,2.421652,2.421652,2.485077,7.45,0.029071,0.525712,,,0.384222,5.6,0.144,0.854458,0.029276,0.441024,0.126602
ARM,Armenia,,,,,-77794.129993,,2.850345,2.850345,,9.58,,0.449098,,,0.446444,,0.0,0.0014,,0.740376,
ATG,Antigua and Barbuda,,748.249268,,0.061771,1160.739003,1.551273,,,,,0.008677,0.686279,,,0.190222,,0.6396,0.6396,0.053994,,0.225565
AUS,Australia,66157.980275,490373.6875,7.412162,16.452255,1543885.922396,3.148387,3.143573,3.143573,3.370583,11.02,0.05184,0.866355,0.651163,0.758759,0.392,4.07,0.574,0.574,0.026716,0.609081,0.312662
AUT,Austria,53087.50414,184286.40625,3.471371,7.65884,542604.230336,2.944353,2.632358,2.632358,2.929803,8.41,0.003568,0.87225,0.790698,0.831474,0.535556,36.64,0.0,0.864,0.036444,0.63296,0.31972
AZE,Azerbaijan,,,,,310236.920418,,,,,,0.031041,0.262482,,,0.448667,,0.0,0.017564,,0.569163,
BDI,Burundi,2225.27201,5481.379883,2.46324,5.168698,7860.168627,1.433976,1.193488,1.193488,1.126731,1.32,0.004097,0.272214,0.0,0.136107,0.037556,24.86,0.0,0.0,0.033779,0.711819,0.096236
BEL,Belgium,64653.12418,244142.4375,3.776189,9.95902,798305.811411,3.269836,2.662965,2.662965,2.719678,8.58,0.001586,0.81082,0.790698,0.800759,0.564778,52.46,,,0.038845,0.616175,0.292317
BEN,Benin,4400.962628,7209.242188,1.638106,4.672852,7698.438346,1.067857,1.157266,1.157266,1.207866,1.09,0.009413,0.422482,0.090909,0.256696,0.070778,42.2,0.0,0.0,0.040282,0.649636,0.089827
BFA,Burkina Faso,2657.774978,9902.15625,3.725732,8.356305,14406.323252,1.454867,1.026508,,1.026508,,0.037107,0.440042,0.0,0.220021,0.137222,14.1,0.0,0.0,0.040987,0.511411,0.161255
BGD,Bangladesh,4387.918356,135888.65625,30.968821,98.18635,131508.236154,0.967765,1.379333,1.379333,1.429126,2.4,0.007443,0.356323,0.0,0.178162,0.263556,10.31,0.0,0.0,0.049577,,0.11164
BGR,Bulgaria,24376.809059,108910.710938,4.4678,8.936655,105129.315953,0.96528,2.589747,2.589747,2.711138,8.17,0.034544,0.457308,,,0.474222,31.12,0.0,0.0016,0.054301,0.409344,0.110682
BHR,Bahrain,41335.767655,6752.60791,0.16336,0.465198,40850.93001,6.049652,1.939151,1.939151,2.042047,5.25,0.179941,0.565602,,,0.291333,71.82,0.0,0.0055,0.031027,0.376267,0.332081
BHS,Bahamas,70949.988227,7847.068848,0.1106,0.247451,9262.300202,1.180352,,,,,0.007431,0.757136,,,0.278667,38.03,0.6478,0.6478,0.044975,0.410926,0.117348
BIH,Bosnia and Herzegovina,,,,,9518.941115,,,,,,0.021495,0.379321,,,0.487444,,0.0,0.0036,,0.638703,
BLR,Belarus,,,,,-1629641.267471,,,,,,,0.401736,,,0.598889,,0.0,0.038785,,0.474997,
BLZ,Belize,19657.639633,1090.938232,0.055497,0.179028,1314.314585,1.204756,2.397317,2.397317,2.528081,7.35,0.005043,0.522057,,,0.191667,87.48,0.542704,0.542704,0.060223,,0.139376
