iso3,country,yl,K,ky_ratio,hc,hc_bl,yr_sch,mining_va,governance,openness,social_infra,distancefromeq,fr_trade,english_frac,we_lang_frac,kapw_nonres
AGO,ANGOLA,1594.0,1001.405144,0.628234,,,,0.329125,0.418611,0.0,0.209306,0.098111,11.51,0.0,0.6,
ARE,UNITED ARAB E.,32916.0,208894.694206,6.346296,1.792247,1.792247,4.47,0.394066,,0.0,,0.269778,33.42,0.0,0.0077,
ARG,ARGENTINA,15153.0,8335.93892,0.550118,2.421652,2.421652,7.45,0.029071,0.576806,0.046512,0.311659,0.384222,5.6,0.144,0.854458,8335.93892
AUS,AUSTRALIA,31055.0,25039.00857,0.806279,3.143573,3.143573,11.02,0.05184,0.877083,0.651163,0.764123,0.392,4.07,0.574,0.574,25039.00857
AUT,AUSTRIA,25220.0,24191.246198,0.959209,2.632358,2.632358,8.41,0.003568,0.883958,0.790698,0.837328,0.535556,36.64,0.0,0.864,24191.246198
BDI,BURUNDI,1065.0,768.755886,0.721837,1.193488,1.193488,1.32,0.004097,,0.0,,0.037556,24.86,0.0,0.0,
BEL,BELGIUM,29655.0,24527.485477,0.827094,2.662965,2.662965,8.58,0.001586,0.865139,0.790698,0.827918,0.564778,52.46,,,24527.485477
BEN,BENIN,2093.0,1387.161056,0.662762,1.157266,1.157266,1.09,0.009413,,0.069767,,0.070778,42.2,0.0,0.0,
BFA,BURKINA FASO,1046.0,1062.581306,1.015852,,,,0.037107,0.428889,0.0,0.214444,0.137222,14.1,0.0,0.0,
BGD,BANGLADESH,4509.0,2142.388151,0.475136,1.379333,1.379333,2.4,0.007443,0.240139,0.0,0.120069,0.263556,10.31,0.0,0.0,
BGR,BULGARIA,14075.0,54352.21113,3.861614,2.589747,2.589747,8.17,0.034544,0.620833,0.0,0.310417,0.474222,31.12,0.0,0.0016,
BHR,BAHRAIN,21880.0,118290.791647,5.406343,1.939151,1.939151,5.25,0.179941,0.59125,0.0,0.295625,0.291333,71.82,0.0,0.0055,
BLZ,BELIZE,10738.0,23077.221437,2.149117,2.397317,2.397317,7.35,0.005043,,0.0,,0.191667,87.48,0.542704,0.542704,
BOL,BOLIVIA,5353.0,5318.028169,0.993467,1.960815,1.960815,5.36,0.10973,0.329861,0.697674,0.513768,0.183333,8.06,0.063,0.3738,5318.028169
BRA,BRAZIL,11497.0,27753.3996,2.413969,1.617788,1.617788,3.59,0.015843,0.605556,0.046512,0.326034,0.175333,3.03,0.0,0.99,
BRB,BARBADOS,14395.0,21184.850329,1.471681,2.397317,2.397317,7.35,0.001941,,0.627907,,0.145556,56.1,0.7708,0.7708,
BWA,BOTSWANA,7123.0,13156.872443,1.847097,1.686407,1.686407,3.9,0.40238,0.681111,0.325581,0.503346,0.273889,24.03,,,
CAF,CENTRAL AFR.R.,1211.0,1217.989979,1.005772,1.220988,1.220988,1.49,0.054066,,0.0,,0.048556,15.13,0.0,0.0,
CAN,CANADA,34521.0,24091.734731,0.697886,2.899215,2.899215,9.83,0.043476,0.912083,0.930233,0.921158,0.504667,4.97,0.437144,0.437144,24091.734731
CHE,SWITZERLAND,31660.0,45156.896907,1.426308,3.007653,3.007653,10.37,0.001889,0.957778,1.0,0.978889,0.521667,32.57,0.011175,0.576,45156.896907
CHL,CHILE,11031.0,5200.531496,0.471447,2.368436,2.368436,7.23,0.128051,0.564444,0.395349,0.479897,0.371667,7.25,0.1335,0.7921,5200.531496
