iso3,country,yl,K,ky_ratio,hc,hc_bl,yr_sch,mining_va,governance,openness,social_infra,distancefromeq,fr_trade,english_frac,we_lang_frac,rgdpo,emp,csh_i,delta,labsh
ABW,Aruba,72841.069294,429967.357349,5.902815,,,,0.0,,,,0.139111,,0.083525,0.083525,3467.299561,0.047601,0.246366,0.035725,0.645106
AGO,Angola,13689.170002,36553.286255,2.670234,,,,0.219182,0.425794,0.435044,0.430419,0.098111,11.51,0.0,0.6,227855.71875,16.644962,0.19171,0.043606,0.331142
ALB,Albania,33556.204444,84864.845874,2.529036,2.903161,2.903161,9.85,0.030462,0.537798,0.719985,0.628891,0.459222,,0.0,0.0,36103.042969,1.075898,0.205828,0.027927,
ARE,United Arab Emirates,111202.393037,433521.896905,3.898494,2.770091,2.770091,9.16,0.258657,,0.670808,,0.269778,33.42,0.0,0.0077,645956.25,5.808834,0.328729,0.036985,
ARG,Argentina,47348.271769,78389.004526,1.655583,2.836809,2.836809,9.51,0.045464,0.543155,0.551744,0.547449,0.384222,5.6,0.144,0.854458,977420.5625,20.643215,0.105573,0.036324,0.543918
ARM,Armenia,45112.287815,63270.514759,1.402512,3.038488,3.038488,10.52,0.031593,0.40119,0.62974,0.515465,0.446444,,0.0,0.0014,43582.574219,0.966091,0.094274,0.033224,0.548672
AUS,Australia,106091.83266,313173.706519,2.951912,3.653333,3.653333,13.23,0.07751,0.846429,0.83846,0.842444,0.392,4.07,0.574,0.574,1364677.75,12.863174,0.206068,0.03325,0.571645
AUT,Austria,104983.735066,366294.814567,3.489063,3.065467,3.065467,10.65,0.003519,0.870337,0.714636,0.792487,0.535556,36.64,0.0,0.864,477705.5,4.550281,0.312186,0.044783,0.58386
AZE,Azerbaijan,31696.903466,44857.391329,1.415198,,,,0.415384,0.415179,0.565564,0.490372,0.448667,,0.0,0.017564,159346.0,5.027179,0.122014,0.05698,0.254187
BDI,Burundi,1820.631138,2148.238734,1.179942,1.570792,1.570792,3.37,0.00456,,0.558854,,0.037556,24.86,0.0,0.0,9109.688477,5.003588,0.120426,0.042343,0.606218
BEL,Belgium,105125.23856,431689.169483,4.106427,3.265589,3.265589,11.58,0.000616,0.848512,0.73657,0.792541,0.564778,52.46,,,517419.75,4.921937,0.360464,0.04577,0.594811
BEN,Benin,8905.306785,12714.009193,1.427689,1.724764,1.724764,4.09,0.005935,,0.603303,,0.070778,42.2,0.0,0.0,38295.496094,4.300301,0.181712,0.046756,0.617155
BFA,Burkina Faso,6191.358417,9335.4408,1.507818,,,,0.107088,0.440179,0.660589,0.550384,0.137222,14.1,0.0,0.0,43084.152344,6.958756,0.210743,0.058399,0.460928
BGD,Bangladesh,11588.944195,22377.297572,1.930918,2.085419,2.085419,5.97,0.01827,0.510119,0.541784,0.525952,0.263556,10.31,0.0,0.0,759470.625,65.534065,0.26417,0.040951,
BGR,Bulgaria,43688.344521,93242.595642,2.134267,3.124393,3.124393,10.93,0.018659,0.550298,0.683495,0.616896,0.474222,31.12,0.0,0.0016,149432.421875,3.420419,0.185824,0.054757,0.527659
