iso3,country,yl_adj,ky_ratio,hc,social_infra,si_was_imputed,distancefromeq,fr_trade,english_frac,we_lang_frac
ARE,UNITED ARAB E.,19944.923543999997,6.346296,1.792247,0.3484333419211604,True,0.269778,33.42,0.0,0.0077
ARG,ARGENTINA,14712.487137,0.550118,2.421652,0.311659,False,0.384222,5.6,0.144,0.854458
AUS,AUSTRALIA,29445.1088,0.806279,3.143573,0.764123,False,0.392,4.07,0.574,0.574
AUT,AUSTRIA,25130.01504,0.959209,2.632358,0.837328,False,0.535556,36.64,0.0,0.864
BDI,BURUNDI,1060.636695,0.721837,1.193488,0.2916606210231052,True,0.037556,24.86,0.0,0.0
BEN,BENIN,2073.298591,0.662762,1.157266,0.29235416964622124,True,0.070778,42.2,0.0,0.0
BGD,BANGLADESH,4475.439513,0.475136,1.379333,0.120069,False,0.263556,10.31,0.0,0.0
BGR,BULGARIA,13588.7932,3.861614,2.589747,0.310417,False,0.474222,31.12,0.0,0.0016
BHR,BAHRAIN,17942.890919999998,5.406343,1.939151,0.295625,False,0.291333,71.82,0.0,0.0055
BLZ,BELIZE,10683.848265999999,2.149117,2.397317,0.42280945949665094,True,0.191667,87.48,0.542704,0.542704
BOL,BOLIVIA,4765.61531,0.993467,1.960815,0.513768,False,0.183333,8.06,0.063,0.3738
BRA,BRAZIL,11314.853029,2.413969,1.617788,0.326034,False,0.175333,3.03,0.0,0.99
BRB,BARBADOS,14367.059305,1.471681,2.397317,0.4491346774067645,True,0.145556,56.1,0.7708,0.7708
CAF,CENTRAL AFR.R.,1145.526074,1.005772,1.220988,0.28947122943164777,True,0.048556,15.13,0.0,0.0
CAN,CANADA,33020.165004,0.697886,2.899215,0.921158,False,0.504667,4.97,0.437144,0.437144
CHE,SWITZERLAND,31600.19426,1.426308,3.007653,0.978889,False,0.521667,32.57,0.011175,0.576
CHL,CHILE,9618.469419,0.471447,2.368436,0.479897,False,0.371667,7.25,0.1335,0.7921
CHN,CHINA,2224.0,2.317308,1.84925,0.284097,False,0.443556,2.3,0.0,0.0
CIV,IVORY COAST,3521.095545,0.175758,1.254152,0.279444,False,0.059444,16.58,0.0,0.0
CMR,CAMEROON,2816.823494,1.434197,1.453334,0.253889,False,0.043,15.79,0.0,0.0
COG,CONGO,4234.95044,1.397614,1.543666,0.214167,False,0.047444,25.77,0.0,0.0093
COL,COLOMBIA,9242.4071,0.965269,1.851118,0.342854,False,0.051111,7.54,0.1485,0.8811
CRI,COSTA RICA,9566.794103999999,2.454043,2.100216,0.52556,False,0.110333,23.37,0.144,0.8544
CYP,CYPRUS,15822.013662000001,2.761625,2.48107,0.710526,False,0.390778,54.39,0.0,0.004
CZE,CZECHOSLOVAKIA,7485.569224,3.288326,3.026116,0.347708,False,0.556444,21.07,0.0,0.0
DEU,"GERMANY, WEST",28885.230047999998,0.905641,2.446235,0.833624,False,0.583556,18.47,0.0,0.0001
DNK,DENMARK,24349.028748,0.883067,2.563465,0.84004,False,0.618556,30.89,0.0,0.0
DOM,DOMINICAN REP.,7339.1431680000005,0.361273,1.799502,0.260625,False,0.205222,22.37,0.1485,0.8811
DZA,ALGERIA,9239.990066,3.509189,1.399815,0.246736,False,0.408333,13.97,0.0,0.0062
ECU,ECUADOR,8902.989606000001,1.346251,2.060297,0.686907,False,0.002444,11.42,0.1395,0.8277
EGY,EGYPT,6543.5975,0.619452,1.488814,0.267639,False,0.333889,11.75,0.0,0.0095
ESP,SPAIN,24162.512517,0.514819,2.119394,0.763682,False,0.448889,12.38,0.1335,0.1335
FIN,FINLAND,26034.80433,1.113616,2.392479,0.862988,False,0.668556,21.64,0.0,0.0
FJI,FIJI,9987.929196000001,2.69698,2.256353,0.315250421967733,True,0.201444,18.56,0.0082,0.0082
FRA,FRANCE,29059.59279,0.801376,2.224673,0.828613,False,0.543,15.26,0.0015,0.009098
GAB,GABON,4820.552964,5.11217,1.545736,0.239375,False,0.004333,30.65,0.0,0.0279
GBR,U.K.,26359.0,0.493869,2.62878,0.81896,False,0.572222,13.47,0.7544,0.7544
GHA,GHANA,1852.16982,1.050776,1.712613,0.313548,False,0.061667,18.87,0.0,0.0
GMB,GAMBIA,1717.7835320000002,0.065128,1.135758,0.335562,False,0.149444,52.2,0.0,0.0
GRC,GREECE,16798.146768,0.938446,2.378024,0.713127,False,0.422,27.01,0.0,0.0
GTM,GUATEMALA,7411.472445,0.487851,1.439765,0.340005,False,0.162444,22.04,0.0975,0.5785
GUY,GUYANA,3673.0795639999997,4.355716,2.158277,0.190956,False,0.075556,25.92,0.7134,0.7134
HKG,HONG KONG,21553.0,0.37906,2.468572,0.815833,False,0.247556,35.88,0.0246,0.0246
HND,HONDURAS,4640.05054,0.79822,1.644013,0.328038,False,0.156667,27.58,0.1455,0.8633
HTI,HAITI,2010.5339060000001,0.901774,1.342858,0.088056,False,0.206111,20.44,0.0,0.0744
HUN,HUNGARY,10937.29824,2.949511,2.704941,0.390304,False,0.527778,26.92,0.0,0.0
IDN,INDONESIA,4003.1092919999996,2.283705,1.541599,0.448245,False,0.068667,4.47,0.0,0.0
IND,INDIA,3000.385988,0.451299,1.377486,0.262847,False,0.317778,3.29,0.0,0.0
IRL,IRELAND,20556.612839,0.673641,2.787095,0.728155,False,0.592556,33.85,0.7626,0.7626
IRN,IRAN,9757.73403,0.580583,1.537473,0.238472,False,0.396444,10.06,0.0,0.004199
ISL,ICELAND,25436.765884,0.333162,2.54966,0.462569,False,0.712556,33.08,0.0,0.0
ISR,ISRAEL,23496.0,0.461452,3.015845,0.428583,False,0.353111,54.17,0.011175,0.0178
ITA,ITALY,29438.833809,0.566425,2.242721,0.743925,False,0.465556,13.97,0.0,0.019098
JAM,JAMAICA,4686.416994,0.424284,2.056139,0.421849,False,0.2,22.19,0.7872,0.7872
JOR,JORDAN,14351.640023,1.956647,1.721283,0.770764,False,0.355,68.18,0.0,0.0098
